#keyword,category
bacterial evolution,evolutionary psychology
photovoltaics,solar engineering
mollusk shells,biomimetics
climate variations,global change
orac (oxygen radical absorbance capacity),general organic chemistry
water adsorption,surface science
smart meter,electric power distribution
metrology,heating
initial conditions,chaos theory
adaptation to urban heatwaves,ophthalmology
isolation by distance,quantum information
local emissions,non-parametric statistics
drops,operating systems
power lines,trigonometric functions
ionization,general analytical chemistry
overgrazing,hydrogeology
genetic trade-offs,air pollution
angular leaf spot (als),cell cycle
critical race theory,postcolonialism
ankole cattle,thermodynamics
forages,late modern period
mutation bias,population genetics
sludge,water pollution
vegetated roof,ventilation
collision avoidance system,computer vision
cushman,cardiology
holography,digital signal processing
ames test,coordination chemistry
novelty detection,general machine learning
nonribosomal peptide synthetase,cell communication
monocots,immunology
power-to-gas,air pollution
n-ccn,cell cycle
rights,early modern period
soil microbial abundance,conservation biology
wallis,practical structural engineering
ecopath,positive psychology
functional group (ecology),general organic chemistry
adaptive metropolis algorithm,numerical analysis
impact assessment,preventive healthcare
cantons of switzerland,late modern period
pahs,general history
water-use trends,water pollution
landslides,geomorphology
heterodera schachtii,cell cycle
tropical soils,conservation biology
common sense,epistemology
location choice,geographic information systems
taste and odor compounds,general organic chemistry
germany,late modern period
bacterial memory,cognitive psychology
granulométrie des pluies,cell communication
gene‐environment association (gea),developmental psychology
density,general organic chemistry
tropical timber harvest,conservation biology
ocyceros griseus (malabar grey hornbill),nuclear power
niederschlagsschwankungen + regenschwankungen (meteorologie),meteorology
government consultations,corporate finance
ecological mechanisms,conservation biology
vital effects,computer animation
kapok fibers,aerospace engineering
locomotor-activity,biochemistry
food loss treatment,surface science
antibacterial agents,population genetics
malaysia,cell metabolism
copper-sulfate,general organic chemistry
waterborne disease,water pollution
fluvial systems,neuroanatomy
georgia basin,hydroelectricity
alh85085,prehistory
niederschlag/aussergewöhnliche niederschläge in kurzen und langen zwischenräumen (meteorologie),global change
functional tradeoffs,software development process
organic nitrogen,atmosphere
blue carbon,global change
nicht-radioaktive markierung + markierung mit stabilen isotopen (biologische techniken),late modern period
alpine snow,abrahamic religions
granulométrie,immunology
roads and streets,customer relationship management
new techniques of genetic engineering,genetic engineering
disaster risk reduction (drr),environmental sociology
batch reactor,microprocessors
flba,air pollution
carcass survey,cardiology
aerosol-climate interactions,mass communication
liquids,geochemistry
two-region model,morphology
radical-radical reactions,general organic chemistry
hydrologische modelle + hydrologische modellrechnung,hydrology
volume,calculus
real-time rt-pcr,global navigation satellite systems
quantitative,mathematical economics
regiella insecticola,cell physiology
electronic waste,waste management and resource recovery
river bed geometry (hydraulic engineering),hydroelectricity
vb-cyclones,meteorology
batch,global change
stable isotope,paleoclimatology
symbiont,cell composition
cooperative positioning system,global navigation satellite systems
2 °c,immunology
ggreenhouse gas emissions,global change
concomitant infections,general topology
core analysis,psychometrics
contribution to variance,late modern period
urban stormwater drainage,general physiology
landslide processes,ecosystems
angular velocity,dynamics
distributed coverage,distributed computing
asian chestnut gall wasp,infectious diseases
pesticide risk assessment bioaccumulation,general reliability engineering
anammox,ecosystems
qtl,relational databases
academic travel,secondary education
catalysis,general organic chemistry
rhithrogena spp.,coordination chemistry
conservation prioritization,water pollution
brachypodium,metallurgy
macropores,immunology
photolytic aging,radiology
film thickness,mass communication
trait-based experiment (tbe),particle physics
biodiversity patterns,conservation biology
thermoplasmonics,polymer chemistry
plant spectroscopy,astronomical spectrometry
spodoptera littoralis,risk management
disturbance ecology,conservation biology
europe–mediterranean region,early modern period
shock metamorphism,mineralogy
radar polarimetry toolbox,optics
reflection,comparative politics
ice layer,general marine biology
renewable electricity,consumer electronics
double emulsions,cosmetics
soil-nesting bees,2d computer graphics
sociotechnical system,complex systems
cluster formation,stellar astronomy
severe drought,hydrology
neural controlled differential equations,differential anaysis
dichelachne micrantha,distribution theory
topoclimate,global change
cephalosporins,general organic chemistry
nitrogen enrichment,conservation biology
extracellular enzyme,cell communication
polarimetric synthetic aperture radar (sar),aerospace engineering
strategic sanitation planning,marketing management
subsurface exchange,electrochemistry
thermal,meteorology
diel rythm,music
functional trait,differential anaysis
nitrogen oxides (nox),global change
electricity transmission,electric power transmission
herbicide transport,late modern period
clausius-clapeyron relation,phase transitions
thunderstorm,meteorology
likelihood ratio test,statistical hypothesis testing
probability hypothesis density filter,probability distributions
biofilm hydraulic resistance,heating
root turnover,conservation biology
coffee and cocoa,late modern period
filtration,chemical reactors and reactions
hyperspectral,astronomical spectrometry
pollinators,plant physiology
aquatic biofilms,evolutionary developmental biology
analytic method,elementary number theory
degradation-products,nuclear power
